A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
SULTAN NAGA DIMAPORO PROV''L	----->HOSPITAL (formerly Sultan Naga Dimaporo District Hospital) Sultan Naga, Dimaporo Lanao del Sur
SULU MEDICAL SPECIALISTS HOSPITAL	----->Martinez St., Jolo, Sulu
SULU PROVINCIAL HOSPITAL	----->San Raymundo, Jolo Sulu
SULU SANITARIUM HOSPITAL	----->San Raymundo, Jolo Sulu
SUNGA HOSPITAL	----->Digos City, Davao del Sur
SURIGAO MEDICAL CENTER, INC	----->Surigao City, Surigao del Norte
SURRALAH COMMUNITY	----->HOSPITAL Surralah, South Cotabato
SUSANO UY MEMORIAL HOSPITAL INC.	----->Lopez Jaena, MIsamis Occidental
SWU-ARGAO COMMUNITY HOSPITAL	----->Lamacan, Argao, Cebu City
TAAL POLYMEDIC HOSPITAL AND	----->MEDICAL CENTER (formerly Taal Polymedic Hospital) Taal, Batangas
TABACO COLLEGE HOSPITAL	----->Tabaco, Albay
TABANGO COMMUNITY	----->HOSPITAL Tabango, Northern Leyte
TABLAS ISLAND DISTRICT	----->HOSPITAL San Agustin, Romblon
TABLAS DOCTOR'S HOSPITAL	----->N. Aquino St., Liwayway Odiongan Romblon
TABUK FAMILY CLINIC	----->Poblacion, Tabuk, Kalinga
TACLOBAN CITY HOSPITAL	----->Tacloban City
TAFT DISTRICT HOSPITAL	----->Taft, Eastern Samar
TAGALOAN POLYMEDIC	----->GENERAL HOSPITAL Tagaloan, Misamis Oriental
TAGAYTAY HOSPITAL AND	----->MEDICAL CENTER Tagaytay Rotonda, Tagaytay City
TAGBILARAN COMMUNITY	----->HOSPITAL CORP. Tagbilaran City
TAGBILARAN MATERNITY AND	----->CHILDREN'S HOSPITAL, INC. (formerly Tagbilaran Puericulture Center and Maternity House, Inc.) 169-J, A. Clarin St., Tagbilaran City
TAGUIG DOCTORS' HOSPITAL	----->M. L. Quezon St. Bagumbayan, Taguig
TAGUDIN GENERAL HOSPITAL	----->& CAPILLARIAS CENTER Bio Tagudin, Ilocos Sur
TAGUIG-PATEROS DISTRICT HOSPITAL	----->East Service Rd., Western Bicutan, Taguig
TAGUM DOCTORS HOSPITAL	----->Highway 54, Tagum City
TALAVERA EXTENSION HOSPITAL	----->Talavera, Nueva Ecija
TALISAY DISTRICT HOSPITAL	----->San Isidro, Talisay, Cebu
TALON GENERAL HOSPITAL	----->F. Tañedo St.,Tarlac City
TAMOLA-TAN MEDICAL HOSPITAL	----->Canubay, Oroquieta City Misamis Occidental
TAMONDONG MEMORIAL	----->CLINIC AND HOSPITAL Ala, Esperanza, Sultan Kudarat
TAMONDONG-DELOS	----->CIENTOS MEDICAL CLINIC Padada, Davao del Sur
TAMPARAN DISTRICT HOSPITAL	----->Tamparan, Lanao del Sur
TAMPARAN MEDICAL FOUNDATION, INC.	----->Picarabawan, Tampalan, Lanao Del Sur
TANAY COMMUNITY HOSPITAL	----->Tanay, Rizal
TANAY GENERAL HOSPITAL	----->Tanay, Rizal
TANCHULING HOSPITAL	----->Imperial, Subd., Legaspi City
TANHO MEDICAL CLINIC	----->Plaridel, Misamis Occidental
TANZA FAMILY GENERAL	----->HOSPITAL Daang Maya, Tanza, Cavite
TAPAZ DISTRICT HOSPITAL	----->Tapaz, Capiz
TARANGNAN COMMUNITY	----->HOSPITAL Tarangnan, Western Samar
TARLAC PROVINCIAL HOSPITAL	----->San Vicente, Tarlac, Tarlac
TARONGOY MEDICAL CLINIC	----->Quezon Ave., Midsayap North Cotabato
TAYABAS COMMUNITY	----->HOSPITAL, INC. Tayabas, Quezon
TAYTAY DISTRICT HOSPITAL	----->Taytay, Palawan
TAYTAY EMERGENCY	----->HOSPITAL San Isidro, Taytay, Rizal
TAYUG FAMILY HOSPITAL	----->Tayug, Pangasinan
TEODORO B. GALAGAR	----->MEMORIAL HOSPITAL Jagna, Bohol
TERESITA L. JALANDONI	----->PROVICIAL HOSPITAL Brgy. Lantad, Silay City Negos Occidental
THE BLACK NAZARENE	----->SPECIALTY HOSPITAL 29 Bonoan St., Brgy. San Nicolas Ilocos Norte
THE DOCTOR'S HOSPITAL, INC.	----->B.S. Aquino Drive, Bacolod City
THE FAMILY CLINIC	----->1474 Ma. Clara St. Sampaloc, Manila
THE LORD'S HOSPITAL	----->Meymart Rd., Calvario Meycauayan, Bulacan
THE MEDICAL CITY	----->Ortigas Avenue, Pasig City
THE MOTHER REGINA MEDICAL FACILITIES	----->(formerly Mother Regina Hospital) No. Ruby St., Doña Juan Subd., Rosario, Pasig City
THE ROSS MAURICIO	----->MEMORIAL HOSPITAL 109 Quezon St., Dist. II Cauayan City, Isabela
TICAO DISTRICT HOSPITAL	----->San Jacinto, Masbate
TIGLAO MEDICAL CENTER	----->FOUNDATION, INC. San Joaquin, Mabalacat Pampanga
TINAMBAC MEDICARE	----->COMMUNITY HOSPITAL Tinambac, Camarines Sur
TINAMBAC MUNICIPAL INFIRMARY	----->Binmaley, Tinambac Camarines Sur
TINOC DISTRICT HOSPITAL	----->Tinoc, Ifugao
TOJONG INC. MATERNITY	----->CLINIC AND GENERAL HOSPITAL Lapu-Lapu City
TOLEDO CITY GENERAL HOSPITAL	----->Toledo City
TOLENTINO CLINIC & HOSPITAL	----->Sto. Domingo, Ilocos Sur
TOMAS LACHICA DISTRICT	----->HOSPITAL Jose Abad Santos, Davao del Sur
TOMAS-CACAL MEDICAL	----->CLINIC & HOSPITAL Magsaysay, Alicia, Isabela
TOMBOC-SALAYOG HOSPITAL	----->San Emmanuel, Tacurong City
TONDO MEDICAL CENTER	----->Honorio Lopez Blvd. Balut, Tondo
TORRIJOS MUNICIPAL	----->HOSPITAL Torrijos, Marinduque
TRINITY WOMAN AND CHILDREN	----->CENTER "THE BIRTHPLACE" 2732 New Panaderos St., Sta. Ana, Manila
TRIUMPH OF THE CROSS HOSPITAL	----->Manabo, Abra
TUAN LIGADDUNG LIPAE	----->DISTRICT HOSPITAL Sapa-Sapa, Tawi-Tawi
TUAO DISTRICT HOSPITAL	----->Tuao, Cagayan Valley
TUBIGON COMMUNITY	----->HOSPITAL Potohan, Tubigon, Bohol
TUBOD COMMUNITY HOSPITAL	----->San Butonio, Tubod Lanao Del Norte
TUBURAN DISTRICT HOSPITAL	----->Tuburan, Cebu City
TUDELA MUNICIPAL HOSPITAL	----->Tudela, Misamis Occidental
TUGON MEDICAL CLINIC	----->AND HOSPITAL Pandan, Antique
TUGUEGARAO CITY PEOPLE'S	----->GENERAL HOSPITAL Tuguegarao, Tuguegarao City
TUMAUINI COMMUNITY HOSP.	----->Tumauini, Isabela
TUY GENERAL HOSPITAL	----->#6 P. Burgos St., Tuy Batangas
UERM MEMORIAL MEDICAL CENTER	----->Aurora Blvd., Sta. Mesa Quezon City
UMALI MEDICAL CLINIC	----->Gelaio Ocampo St., Pob. 1 Victoria, Oriental Mindoro
UMINGAN MEDICARE &	----->COMMUNITY HOSPITAL Umingan, Pangasinan
UNAYAN DISTRICT HOSPITAL	----->Tamparan, Lanao del Sur
UNCIANO GENERAL HOSPITAL	----->393 Boni Avenue Mandaluyong City
UNCIANO MEDICAL CENTER	----->Antipolo City
UNISAN MEDICARE	----->COMMUNITY HOSPITAL Brgy. Ilabang, Kalilayan Unisan, Quezon
UNITED BALAGTAS DOCTORS	----->HOSPITAL CORP. Wawa, Balagtas, Bulacan
UNITED CANDELARIA DOCTORS	----->HOSPITAL Candelaria, Quezon
UNITED DOCTOR'S HOSPITAL	----->OF TAGUM, INC. Tagum City, Davao del Norte
UNITED DOCTORS MEDICAL	----->CENTER 6 N. Ramirez St., Quezon City
UNITED DOCTORS MEDICAL	----->CLINIC Bunawan, Agusan Del Sur
UNITED DOCTORS HOSPITAL OF	----->KIDAPAWAN (formerly Pacifico Medical Clinic and Hospital) Quezon Avenue, Kidapawan City
UPH DR. JOSE G. TAMAYO	----->MEDICAL CENTER (formerly University of Perpetual Help Medical Center) Sto. Niño, Biñan, Laguna
UNIVERSITY HEALTH SERVICE	----->Los Baños, Laguna
UNIVERSITY OF PERPETUAL	----->HELP RIZAL  MEDICAL CENTER INC. Alabang - Zapote Rd. Las Piñas City
UNIVERSITY OF SOUTHERN	----->MINDANAO HOSPITAL USM, Kabacan, North Cotabato
UNTALAN GENERAL HOSPITAL	----->87 Gualberto Ave., Rosario Batangas
UP HEALTH SERVICES	----->UP Campus, Diliman Q. C.
URDANETA SACRED	----->HEART HOSPITAL Urdaneta City, Pangasinan
URDUJA GENERAL HOSPITAL	----->(formerly Ramos Family Clinic Inc.) Lingayen, Pangasinan
USI-MOTHER SETON HOSPITAL	----->Roxas Avenue, Naga City
UY MEDICAL CLINIC	----->Jimenez, Misamis Occidental
V. L. MAKABALI MEMORIAL	----->HOSPITAL, INC. B. Mendoza, San Fernando City Pampanga
VALDERRAMA MUNICIPAL	----->HOSPITAL Valderrama, Antique
VALDEZ MOTHER AND CHILD	----->CLINIC AND HOSPITAL Tacurong City, Sultan Kudarat
VALDEZ-PADRON HOSPITAL	----->12 Marianito St., Gulod Novaliches, Quezon City
VALENCIA MEDICAL HOSPITAL	----->Valencia City, Bukidnon
VALENCIA SANITARIUM	----->AND HOSPITAL Valencia, Bukidnon
VALENZUELA CITY EMERGENCY	----->HOSPITAL Polo, Valenzuela
VALENZUELA MEDICAL CENTER	----->Karuhatan, Valenzuela
VALERA MEDICAL HOSPITAL	----->Bangued, Abra
VALLADOLID DISTRICT HOSPITAL	----->Valladolid Street, Negros Occidental
VELASQUEZ MEDICAL CLINIC	----->AND HOSPITAL Mangatarem, Pangasinan
VELASCO HOSPITAL	----->Silang, Cavite
VETERANS MEMORIALMEDICAL CENTER	----->North Avenue, Diliman Quezon City
VETERANS REGIONAL HOSPITAL	----->Bayombong, Nueva Viscaya
VIACRUSIS MEDICAL CLINIC	----->Bansalan, Davao del Sur
VIAN FAMILY HOSPITAL	----->4041 Que Grande, Ugong Valenzuela City
VICENTE GULLAS	----->MEMORIAL HOSPITAL Banilad, Mandaue City
VICENTE GUSTILO DISTRICT	----->HOSPITAL New Escalante, Negros Occ.
VICENTE PERALTA MEMORIAL	----->DISTRICT HOSPITAL Cumadcad, Castilla, Sorsogon
VICENTE SOTTO MEMORIAL	----->MEDICAL CENTER B. Rodriguez Street, Cebu City
VIGA DISTRICT HOSPITAL	----->Viga, Catanduanes
VIGAN POLYCLINIC	----->Vigan City, Ilocos Sur
VILLABA COMMUNITY HOSPITAL	----->Suba, Villaba, Northern Leyte
VILLAFLOR'S CLINIC	----->Hilongos, Leyte
VILLAROSA HOSPITAL	----->11 Salalilla St., Project 4, Quezon City
VILLASIS POLYMEDIC HOSPITAL	----->AND TRAUMA CENTER Maharlika Highway, Poblacion Villasis, Pangasinan
VILLAVICIOSA MEDICARE AND	----->COMMUNITY HOSPITAL Villaviciosa, Abra
VINTAR DISTRICT HOSPITAL	----->Vintar, Ilocos Norte
VIRGEN MILAGROSA	----->MEDICAL CENTER San Carlos City, Pangasinan
VISAYAS COMMUNITY	----->MEDICAL CENTER Osmeña Blvd., Cebu
VSU HOSPITAL	----->Visca, Baybay, Leyte
W.G. CORTEZ MEDICAL AND	----->DIAGNOSTIC CLINIC Plazang Luma, Arayat, Pampanga
WESLEYAN UNIVERSITY PHILIPPINES	----->CARDIOVASCULAR & MEDICAL CENTER Tandang Sora St., Mabini Ext. Cabanatuan City
WEST MINDORO POLYCLINIC, INC.	----->(formerly Westmin United Doctor's Hospital) 218 Bonifacio San Jose, Occidental Mindoro
WEST VISAYAS STATE	----->UNIVERSITY MEDICAL CENTER E. Lopez St., Jaro, Iloilo City
WESTERN KALINGA	----->DISTRICT HOSPITAL Balbalan, Kalinga
WESTERN LEYTE	----->PROVINCIAL HOSPITAL Baybay, Leyte
WESTERN MINDANAO MEDICAL CENTER	----->MEDICAL CENTER, INC. Veterans Ave., Zamboanga City
WESTERN PANGASINAN	----->DISTRICT HOSPITAL Sabarro, Poblacion, Alaminos City, Pangasinan
WESTERN VISAYAS SANITARIUM	----->Sta. Barbara, Iloilo
WILFREDO C. PALMA MEMORIAL	----->HOSPITAL Poblacion, Diplahan, Zamboanga Sibugay
WORD OF HOPE GENERAL	----->HOSP. FOUNDATION INC. Novaliches, Quezon City
WORLD CITI MEDICAL CENTER	----->(formerly Quezon City Medical Center and Colleges, Inc.) 960 Aurora Blvd. Ext. Quezon City
XU COMMUNITY HOSPITAL	----->Mortola-Hayes Street Cagayan De Oro City
YUMENA HOSPITAL	----->Roxas, Isabela
YNARES MUNICIPAL HOSPITAL	----->(formerly JALA-JALA  MUNICIPAL HOSP. 474 Nat'l. Ed., Sipsipin Jala-Jala, Rizal
ZMK DOCTORS CLINIC AND	----->HOSPITAL Sto. Niño, South Cotabato
ZAEC COMMUNITY MEDICAL	----->CENTER, INC. San Jose Rd., Zamboanga City
ZAFRA MEDICAL CLINIC	----->Panabo City, Davao del Norte
ZAMBOANGA CHILDREN'S	----->HOSPITAL, INC. Pilar St., Zamboanga City
ZAMBOANGA CITY MEDICAL CENTER	----->Dr. Evangelista St. Zamboanga City
ZAMBOANGA DEL NORTE	----->COOPERATIVE HOSPITAL Dipolog City, Zamboanga Del Norte
ZAMBOANGA DEL NORTE	----->MEDICAL CENTER Dipolog City, Zamboanga Del Norte
ZAMBOANGA DEL SUR	----->MEDICAL CENTER Dao, Pagadian City
ZAMBOANGA DOCTOR'S HOSPITAL, INC.	----->Veterans Ave., Zamboanga City
ZAMBOANGA PUERICULTURE	----->LYING-IN MATERNITY & HOSPITAL Pura Brillantes St. Zamboanga City
ZAMBOANGA SIBUGAY PROVINCIAL	----->HOSPITAL Ipil, Zamboanga Sibugay
ZAPANTA GENERAL HOSPITAL	----->Pio Duran, Albay
ZAPANTA MATERNITY &	----->GENERAL HOSPITAL San Jose, Occidental Mindoro
ZARATAN-JIMENEZ MED. CLINIC	----->Aguilar, Pangasinan
ZARSONA MEDICAL CLINIC	----->Bansalan, Davao del Sur
ZENON T. LAGUMBAY	----->MEMORIAL HOSPITAL Hinundayan, Southern Leyte
ZIGA MEMORIAL DISTRICT	----->HOSPITAL Tabaco, Albay
ZIGZAG HOSPITAL	----->Mabini, Batangas
